version,filename,review_reasons
20260330173000,20260330173000_8b4f4f26-7036-4e35-9d37-65ab70f88df4.sql,"data effects (INSERT/UPDATE/DELETE); policy missing: user_posts|Published user posts are visible; policy missing: user_posts|Users can insert own user posts"
20260405131000,20260405131000_device_tokens_unique_token.sql,"data effects (INSERT/UPDATE/DELETE); index missing: idx_device_tokens_token_unique (on device_tokens)"
20260406020001,20260406020001_meta_capi_bridge_webhooks.sql,"statement classes outside the verifier; trigger missing: trg_meta_capi_transactions; trigger missing: trg_meta_capi_trips"
20260406091500,20260406091500_super_app_architecture.sql,"data effects (INSERT/UPDATE/DELETE); table missing: warehouse_inventory; table missing: truck_inventory"
20260406093000,20260406093000_launch_security_deeplink_pulse.sql,"policy missing: store_orders|Store owners can view store orders; policy missing: store_orders|Store owners can update store orders; policy missing: truck_sales|Store owners can view truck sales"
20260406094500,20260406094500_admin_wallet_ledger.sql,"policy missing: admin_wallet_ledger|Service role manages admin wallet ledger; policy missing: admin_wallet_ledger|Admins can read admin wallet ledger; table missing: admin_wallet_ledger"
20260411124500,20260411124500_chat_security_enforcement.sql,"data effects (INSERT/UPDATE/DELETE)"
20260411133500,20260411133500_chat_security_rate_limit.sql,"data effects (INSERT/UPDATE/DELETE)"
20260411143000,20260411143000_chat_sender_quarantine_controls.sql,"data effects (INSERT/UPDATE/DELETE)"
20260411152000,20260411152000_chat_resilience_limits.sql,"data effects (INSERT/UPDATE/DELETE); function missing: sender_message_flood_limited"
20260411160000,20260411160000_security_sentinel_project.sql,"data effects (INSERT/UPDATE/DELETE)"
20260411170000,20260411170000_auth_shield_lockout.sql,"data effects (INSERT/UPDATE/DELETE); policy missing: auth_login_protection|Admins can view auth login protection; policy missing: auth_login_events|Admins can view auth login events"
20260411175000,20260411175000_auth_shield_admin_controls.sql,"data effects (INSERT/UPDATE/DELETE); function missing: cleanup_old_auth_login_events"
20260411183000,20260411183000_auth_shield_anomaly_detection.sql,"data effects (INSERT/UPDATE/DELETE); index missing: idx_auth_login_events_risk (on auth_login_events); column missing: auth_login_events|risk_score"
20260411190000,20260411190000_auth_shield_playbooks.sql,"data effects (INSERT/UPDATE/DELETE); function missing: apply_auth_security_playbook; trigger missing: trg_apply_auth_security_playbook"
20260429200000,20260429200000_seed_koh_sdach_resort.sql,"data effects (INSERT/UPDATE/DELETE)"
20260429220000,20260429220000_lodge_rate_plans.sql,"data effects (INSERT/UPDATE/DELETE)"
20260429230000,20260429230000_security_hardening.sql,"data effects (INSERT/UPDATE/DELETE); policy missing: storage|chat_media_select_owner_or_recipient; policy missing: storage|chat_media_insert_authenticated"
20260429230001,20260429230001_user_posts_visibility_location.sql,"unrecognized ALTER TABLE actions; policy missing: user_posts|View posts by visibility; index missing: idx_user_posts_visibility (on user_posts)"
20260429240000,20260429240000_backfill_storage_paths.sql,"function missing: _strip_public_url"
20260429250000,20260429250000_post_actions_tables.sql,"policy missing: post_reports|post_reports_insert_own; policy missing: post_reports|post_reports_select_own; dropped policy still live: post_bookmarks|post_bookmarks_select_own"
20260429260001,20260429260001_post_reactions.sql,"policy missing: post_reactions|post_reactions_select_all; policy missing: post_reactions|post_reactions_insert_own; policy missing: post_reactions|post_reactions_update_own"
20260429270000,20260429270000_post_view_share_counts.sql,"data effects (INSERT/UPDATE/DELETE); policy missing: post_shares|post_shares_insert_any; policy missing: post_shares|post_shares_select_service"
