local_version,local_filename,risk,domain,position_vs_remote_range,nearest_remote_version,nearest_delta_seconds
20260126182101,20260126182101_2f0234ed-56dc-4072-ab57-dfd72543853a.sql,high,security/auth,inside_remote_range,,
20260126184430,20260126184430_15d3dc46-97b5-4f21-b420-db59cd05443a.sql,high,security/auth,inside_remote_range,,
20260126184928,20260126184928_0755b267-5e93-4458-b091-dce75d554b08.sql,high,security/auth,inside_remote_range,,
20260126185227,20260126185227_cda82eb4-ac9e-49b5-9acf-17a1a8079c3d.sql,high,security/auth,inside_remote_range,,
20260126191000,20260126191000_58715aeb-e9bb-454c-bb6a-e617cbbce913.sql,high,security/auth,inside_remote_range,,
20260126194309,20260126194309_e195e9d5-5e21-4d2c-b212-f7264928e546.sql,high,security/auth,inside_remote_range,,
20260126195812,20260126195812_4c0fbc98-ad0f-455f-abee-31eb6a1c0840.sql,high,security/auth,inside_remote_range,,
20260126204105,20260126204105_c67b7de4-2860-447e-9fbd-92891b2247a5.sql,high,security/auth,inside_remote_range,,
20260126204406,20260126204406_4b930ffe-7701-4cca-8669-5b8015c31411.sql,low,general,inside_remote_range,,
20260126210051,20260126210051_db732eec-5136-48f3-9aed-f84e414f4307.sql,high,commerce/store,inside_remote_range,,
20260126210105,20260126210105_93ebc1b8-2f34-4353-8ebe-0cd1ec2b2902.sql,medium,security/auth,inside_remote_range,,
20260126222347,20260126222347_17c79ffb-aefb-49fe-9f4c-311d704354ee.sql,high,security/auth,inside_remote_range,,
20260127224426,20260127224426_9322795d-86a8-4ca0-86af-654caacb5286.sql,high,security/auth,inside_remote_range,,
20260127224927,20260127224927_9e2a2506-a399-42ca-89b3-e8cf7b5a3733.sql,high,security/auth,inside_remote_range,,
20260127233015,20260127233015_5ca2a59c-f6eb-4fca-9560-ba33232020d3.sql,high,security/auth,inside_remote_range,,
20260129222403,20260129222403_8821654d-63c2-4fb4-b5bf-216b04f4a603.sql,medium,commerce/store,inside_remote_range,,
20260129225210,20260129225210_7429b719-03e7-49dc-98a2-a101f956b59d.sql,high,security/auth,inside_remote_range,,
20260129225228,20260129225228_f8acf683-0020-463d-baac-e9c8dda02913.sql,high,security/auth,inside_remote_range,,
20260131202033,20260131202033_2a6cde74-5ca5-4f55-9675-9580420c3829.sql,high,security/auth,inside_remote_range,,
20260131202050,20260131202050_6631b7e6-2c78-41b2-983b-8730b4146de5.sql,high,security/auth,inside_remote_range,,
20260131204001,20260131204001_8fc6e8e9-7bc7-46de-bd85-4266f95306aa.sql,high,security/auth,inside_remote_range,,
20260201011854,20260201011854_0dd90e3e-d414-443c-ab60-74ab8b147261.sql,high,security/auth,inside_remote_range,,
20260201013822,20260201013822_2bc1f474-0e88-44be-a68d-befe581a0753.sql,high,security/auth,inside_remote_range,,
20260201015944,20260201015944_d2dcded2-8f84-47d7-b226-bb29a6944d8f.sql,high,security/auth,inside_remote_range,,
20260201040315,20260201040315_45c14265-db1d-49f1-94b5-0b6ab7a1e92c.sql,high,security/auth,inside_remote_range,,
20260201045033,20260201045033_b7016c20-b1d2-43dc-ad6f-1b0c0d3746b2.sql,high,security/auth,inside_remote_range,,
20260201143419,20260201143419_282f5007-80e4-4b53-881f-6268400c8d51.sql,high,security/auth,inside_remote_range,,
